month,airline_id,unique_carrier,tdomt_cost,tdomt_gallons
10,19917,5X,98401000,42096000
2,20436,F9,20407891,10984122
12,19393,WN,351820604,173448291
1,,,5100,3000
4,20409,B6,94860351,47056338
4,20100,PO,6373880,3054470
8,20422,SY,6518042,4164669
7,20108,NC,890009,421503
6,19805,AA,226684694,116638773
10,20100,PO,4688076,3018145
9,19805,AA,395202923,181531340
2,20310,WL,119183,28716
3,21171,VX,17402265,15268202
5,20405,N8,263413,159152
11,21629,KD,4676523,1991715
11,20408,5V,787493,291529
11,20304,OO,21469081,8304103
9,19917,5X,48786000,34776000
1,21236,0JQ,290954,113588
7,21712,2HQ,866130,210465
10,20169,L2,323804,158460
5,20107,FX,75880000,57865369
7,21634,KH,731821,422110
7,20368,G4,31277339,16007770
5,19977,UA,168346615,129102217
3,19874,8C,50475,22706
7,21161,09Q,1043401,312166
8,21352,0WQ,78602,24795
5,20368,G4,21056684,13615505
9,19393,WN,348776993,162847237
12,19930,AS,66505091,39194602
1,20372,KLQ,185000,109805
1,19805,AA,338396257,174171571
4,20169,L2,310424,165702
2,20422,SY,3895757,2821924
3,20422,SY,4878371,3359333
10,21645,23Q,9858,4955
3,19805,AA,378410499,193844696
2,21645,23Q,7150,3594
11,20310,WL,349777,177716
9,21161,09Q,1013908,376989
8,21634,KH,659061,435947
9,19917,5X,81793000,36434000
10,21352,0WQ,441129,141842
6,20409,B6,119555227,57899767
8,21352,0WQ,384354,120866
4,20402,GL,875378,356831
3,20368,G4,32316022,18222665
5,19393,WN,310447072,175047875
1,20416,NK,42391182,24523033
3,20416,NK,77330846,35893084
2,19690,HA,20326816,12544537
6,20308,WE,46735,23981
12,19690,HA,18485553,13951058
10,20422,SY,6495282,3515001
1,20416,NK,26708498,21470845
6,20304,OO,10364644,4386900
9,19393,WN,300697824,153521838
4,20166,GFQ,307987,120666
9,21634,KH,634692,429319
4,20416,NK,74222807,33760047
1,19790,DL,326289455,157691468
10,20448,S5,9406213,6451193
4,20151,M6,363254,206657
6,20448,S5,4340750,2974618
1,20402,GL,1139536,363126
4,20436,F9,38668884,19681831
6,21650,EE,388688,228640
9,20422,SY,5981104,3236172
5,20195,WI,3549,1959
9,20402,GL,623950,208522
6,20409,B6,105581856,48806973
5,20409,B6,105762046,47589931
4,20409,B6,64391404,50689532
5,20100,PO,5783793,2936648
5,20108,NC,1033301,445143
10,20405,N8,217817,35808
1,21634,KH,863451,432202
1,19393,WN,277572951,142638841
8,21171,VX,29420018,18238682
7,20108,NC,951386,567281
12,20452,YX,50043,21048
11,20405,N8,139375,51749
12,20304,OO,16611712,7379409
9,21634,KH,612176,434148
2,20408,5V,773434,320791
8,20169,L2,495425,200673
2,20368,G4,21141186,10759142
9,20169,L2,614202,273184
11,20046,ZW,41322,12089
1,20366,EV,323056,102060
6,20366,EV,326425,96355
10,20366,EV,234987,83641
10,20436,F9,22532980,15992985
2,20207,XP,225900,78986
8,20405,N8,95400,26529
4,20100,PO,5204366,3392925
5,19393,WN,327303482,162647283
12,20372,KLQ,262669,108732
3,19874,8C,6186,5098
4,20108,NC,702806,395668
2,20368,G4,16053275,12815963
5,19690,HA,18714545,13924977
1,20304,OO,8969786,4128871
2,20436,F9,35144267,18116710
5,20372,KLQ,381694,177695
3,20372,KLQ,895857,353642
2,20100,PO,4471547,2407727
2,20304,OO,16860769,7207367
5,21352,0WQ,550515,151657
9,20166,GFQ,669610,341463
1,21352,0WQ,515168,149758
12,20151,M6,1915560,926649
1,20447,U7,482968,277568
4,20166,GFQ,219637,99022
4,21161,09Q,930574,315422
1,20166,GFQ,87972,58531
11,20107,FX,114704647,63070766
5,20416,NK,76289755,32005287
3,20452,YX,29768,13935
